"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2671301.08981521","2825479.0448079","2955974.24179444","3213147.66102155","3362805.47011836","3745115.41892972","3766696.545026","3871001.98765078","3956396.44350629","3911544.10312545","4130575.53211565","4355367.2616765","4670983.73044332","5331384.1547177","6097726.25125791","6827397.76896116","7467037.86553837","8062877.27073137","8302901.0594537","8812539.10397732","9644822.24138225","10505855.8326067","10794290.3854822","11202156.8235636","11234997.3419439","11228517.2396569","11254517.6500676","11507821.6484151","11907767.9614791","","","",
"inicial del dividendo demográfico","EAR","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2597158.57015316","2735550.78546906","2813642.41790026","2909297.66706062","3046235.60254064","3190364.45718066","3353772.58672736","3500355.16726459","3613797.42537782","3723584.13266459","3861703.86265837","3948395.50088809","4079614.75274644","4243914.23578233","4473182.3714518","4666976.64129297","4912930.11306349","5230542.3962404","5447541.9024238","5614275.08094141","5873859.25045115","6099992.62609683","6384775.05828979","6458326.74395974","6789159.10135838","6855309.54850571","6964154.82626457","7210228.48052801","7403461.89873554","","","",
"Asia oriental y el Pacífico","EAS","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4515304.18571864","4718001.37326028","4896196.4739126","5197106.31267316","5445493.70685005","5897415.99490859","5972937.85123751","6101305.20686877","6097095.07440611","6130609.39618806","6445066.69089282","6690192.27452314","7055254.52773945","7754035.60103008","8583244.13664034","9344394.04677844","10002127.3592767","10686360.9143987","10883898.7040864","11371000.8829939","12341432.8901091","13321306.1948323","13666069.8703982","14091866.1400035","14061916.5932868","14043419.5698274","14077058.1003778","14338600.801664","14712469.9344254","","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4025351.47046872","3903450.73281359","3598453.22214022","3268778.75865208","2897722.01793249","2810966.63566777","2724191.19899199","2579328.16066809","2555463.41150142","2539881.13410436","2600826.48932916","2591741.84111697","2621582.80478084","2715838.53678365","2734900.25450039","2736965.85884003","2866031.25111811","2912252.7133166","2973473.85661441","2725082.3439544","2877012.98156891","3041949.35469906","3033061.76810247","2973433.77730619","2885960.68712782","2807715.85766586","2837023.85179779","2892964.54623832","2948795.02258127","","","",
"Europa y Asia central","ECS","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7976798.76896209","7875369.74170775","7461787.42182351","7065620.99300507","6683242.97966795","6632518.44539","6662099.40650982","6438658.93528701","6429429.91591325","6378434.82406407","6445883.82450361","6500776.94950847","6510827.66224668","6702943.57911293","6732003.46639188","6712282.82564533","6846499.23063543","6837383.17387017","6810185.26824634","6283177.01076618","6544487.27529572","6556748.87252724","6517820.30484612","6385607.42881542","6109541.17349992","6071163.57628264","6091148.77765264","6149711.92913585","6143651.25403367","","","",
"Ecuador","ECU","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15600","16160","17210","16140","17030","19780","22490","23550","23380","20720","21370","23420","23590","23960","25420","27150","29110","29580","30280","32430","34650","35500","36630","39430","41200","40720","39010","37760","39530","","","",
"Egipto, República Árabe de","EGY","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86820","89390","92300","91830","86430","91870","96770","103960","109270","114670","112860","125010","127740","131240","142690","160590","169130","182230","189120","195490","196500","201610","212410","210430","216650","225950","233960","238690","246260","","","",
"Zona del Euro","EMU","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2622870","2638010","2563960","2510690","2509020","2558270","2615430","2587240","2629090","2614010","2632530","2679680","2684280","2741390","2754840","2746350","2730260","2693450","2636270","2438490","2501370","2408310","2379020","2332350","2208030","2256340","2253030","2256530","2207420","","","",
"Eritrea","ERI","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","440","630","730","800","870","830","610","650","640","700","680","690","680","600","520","510","450","470","500","580","630","650","680","650","660","720","800","","","",
"España","ESP","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215020","222210","232480","218110","228460","240580","230100","248610","256220","278310","293310","294790","312750","318660","335560","350500","341780","354680","324160","287490","273250","274400","269270","242800","240960","256280","247030","263440","258340","","","",
